fpr,tpr,threshold,auc,variant
0.018764073054791094,0.23236646061182437,0.7263669333926516,0.7191682793637468,no_nlcd
0.018764073054791094,0.23347598668568711,0.7263602028369417,0.7191682793637468,no_nlcd
0.019514635976982737,0.23347598668568711,0.7263562691531927,0.7191682793637468,no_nlcd
0.019514635976982737,0.23426850530987478,0.7263514554841962,0.7191682793637468,no_nlcd
0.02001501125844383,0.23426850530987478,0.7263509242215307,0.7191682793637468,no_nlcd
0.02001501125844383,0.2344270090347123,0.7263504397342514,0.7191682793637468,no_nlcd
0.021015761821366025,0.2344270090347123,0.7263492547125945,0.7191682793637468,no_nlcd
0.021015761821366025,0.23458551275954984,0.7263475098482948,0.7191682793637468,no_nlcd
0.02151613710282712,0.23458551275954984,0.7263461610612183,0.7191682793637468,no_nlcd
0.02151613710282712,0.23490252020922492,0.7263433742906508,0.7191682793637468,no_nlcd
0.022016512384288218,0.23490252020922492,0.726341870607378,0.7191682793637468,no_nlcd
0.022016512384288218,0.23506102393406245,0.7263415793653095,0.7191682793637468,no_nlcd
0.022516887665749313,0.23506102393406245,0.7263409575698901,0.7191682793637468,no_nlcd
0.022516887665749313,0.23569503883341258,0.7263369607537398,0.7191682793637468,no_nlcd
0.023017262947210407,0.23569503883341258,0.7263358062887978,0.7191682793637468,no_nlcd
0.023017262947210407,0.2358535425582501,0.7263350428216079,0.7191682793637468,no_nlcd
0.025268951713785338,0.2358535425582501,0.7263287407326983,0.7191682793637468,no_nlcd
